Albedo,5,Mondstadt,Geo,,Sword,2020-12-23,Medium Male,Princeps Cretaceus,13-Sep,Woodland Dream,"Knights of Favonius (on profile), Yae Publishing House (as Calx)",TRUE,Khoi Dao,Mace,Kenji Nojima (野島健児),Kim Myung-jun (김명준),Cecilia,Basalt Pillar,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tusk of Monoceros Caeli
Alhaitham,5,Sumeru,Dendro,,Sword,2023-01-18,Tall Male,Vultur Volans,11-Feb,Ideal Circumstance,"Sumeru Akademiya (on profile), Haravatat (graduate)",TRUE,Nazeeh Tarsha,Yang Chaoran (杨超然),Umehara Yuuichirou (梅原 裕一郎),Jun Seung Hwa (전승화),Sand Grease Pupa,Pseudo-Stamens,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Mirror of Mushin
Aloy,5,,Cryo,,Bow,2021-09-01,Medium Female,Nora Fortis,04-Apr,Satiety Gel,"Wandering Heroine (on profile), Adventurers' Guild",,Giselle Fernandez,Mufei (沐霏),Ayahi Takagaki (高垣 彩陽),Jo Hyeon-jeong (조현정),Crystal Marrow,Crystalline Bloom,Spectral Husk,Spectral Heart,Spectral Nucleus,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Spectral Husk,Spectral Heart,Spectral Nucleus,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Molten Moment
Amber,4,Mondstadt,Pyro,,Bow,2020-09-28,Medium Female,Lepus,10-Aug,Outrider's Champion Steak!,Knights of Favonius,FALSE,Kelly Baskin,Shujin Cai (蔡书瑾),Manaka Iwami (石見舞菜香),Kim Yeon-woo (김연우),Small Lamp Grass,Everflame Seed,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Dvalin's Sigh
Arataki Itto,5,Inazuma,Geo,,Claymore,2021-12-14,Tall Male,Taurus Iracundus,01-Jun,Way of the Strong,Arataki Gang,TRUE,Max Mittelman,Zhaokun Liu (刘照坤),Takanori Nishikawa (西川貴教),Song Joon-seok (송준석),Onikabuto,Riftborn Regalia,Slime Condensate,Slime Secretions,Slime Concentrate,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Ashen Heart
Arlecchino,5,Snezhnaya,Pyro,,Polearm,2024-04-24,Tall Female,Ignis Purgatorius,22-Aug,Hearthfire's Trail,"Fatui (on profile), House of the Hearth, Eleven Fatui Harbingers",TRUE,Erin Yvette,Huang Ying (黄莺),Mori Nanako (森なな子),Lee Myung-hee (이명희),Rainbow Rose,Fragment of a Golden Melody,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Fading Candle
Baizhu,5,Liyue,Dendro,,Catalyst,2023-05-02,Tall Male,Lagenaria,25-Apr,Heat-Quelling Soup,Bubu Pharmacy,TRUE,"Sean Durrie, Xanthe Huynh","Qin Qiege (秦且歌), Wang Xiaotong (王晓彤)","Yusa Koji (遊佐 浩二), Shoji Yui (庄子裕衣)","Lee Hosan (이호산), Jang Mi (장미)",Violetgrass,Evergloom Ring,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Worldspan Fern
Barbara,4,Mondstadt,Hydro,,Catalyst,2020-09-28,Medium Female,Crater,05-Jul,Spicy Stew,Church of Favonius,FALSE,Laura Stahl,Yuanyuan Song (宋媛媛),Akari Kitō (鬼頭明里),Yun Ah-yeong (윤아영),Philanemo Mushroom,Cleansing Heart,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Ring of Boreas
Beidou,4,Liyue,Electro,,Claymore,2020-09-28,Tall Female,Victor Mare,14-Feb,Flash-Fried Filet,The Crux,FALSE,Allegra Clark,Yajing Tang (唐雅菁),Ami Koshimizu (小清水亜美),Jeong Yoo-mi (정유미),Noctilucous Jade,Lightning Prism,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Dvalin's Sigh
Bennett,4,Mondstadt,Pyro,,Sword,2020-09-28,Medium Male,Rota Calamitas,01-Feb,Teyvat Charred Egg,"Adventurers' Guild (on profile), Benny's Adventure Team",FALSE,Cristina Vee Valenzuela,Xueting Mu (穆雪婷),Ryōta Ōsaka (逢坂良太),Song Ha-rim (송하림),Windwheel Aster,Everflame Seed,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Plume
Candace,4,Sumeru,Hydro,,Polearm,2022-09-28,Tall Female,Sagitta Scutum,03-May,Utmost Care,Aaru Village,FALSE,Shara Kirby,Zhang Qi (张琦),Yuzuki Ryoka (柚木 涼香),Jeon Yeongsu (전영수),Redcrest,Light Guiding Tetrahedron,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Tears of the Calamitous God
Charlotte,4,Fontaine,Cryo,Pneuma,Catalyst,2023-11-08,Medium Female,Hualina Veritas,10-Apr,Exclusive Scoop: Gourmet Column,The Steambird,FALSE,Maya Aoki Tuttle,Ruan Congqing (阮从青),Waki Azumi (和氣あず未),Shin On-yu (신온유),Beryl Conch,"""Tourbillon Device""",Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Teachings of Justice,Guide to Justice,Guide to Justice,Guide to Justice,Guide to Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Lightless Silk String
Chevreuse,4,Fontaine,Pyro,Ousia,Polearm,2024-01-09,Medium Female,Sclopetum Ensiferum,10-Jan,Sin: The Kind that Doesn't Need to be Dealt With,Special Security and Surveillance Patrol,FALSE,Erica Lindbeck,Pan Danni (潘丹妮),Shimoji Shino (下地紫野),Chae Min-ji (채민지),Lumidouce Bell,Fontemer Unihorn,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Lightless Eye of the Maelstrom
Chiori,5,Inazuma,Geo,,Sword,2024-03-13,Medium Female,Cisoria,17-Aug,"""Fashion Show""","Court of Fontaine (on profile), Chioriya Boutique",TRUE,Brittany Lauda,Chen Yang (陈阳),Taketatsu Ayana (竹達彩奈),Lee Da-eun (이다은),Dendrobium,Artificed Spare Clockwork Component — Coppelia,Spectral Husk,Spectral Heart,Spectral Nucleus,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Spectral Husk,Spectral Heart,Spectral Nucleus,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Lightless Silk String
